City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cockburn Town,TC,21.4612,-71.1419,83.43,74,5,11.14,clear sky
1,Rawson,AR,-43.3002,-65.1023,44.4,61,98,14.23,overcast clouds
2,Meulaboh,ID,4.1363,96.1285,74.21,87,99,4.41,overcast clouds
3,Barra Patuca,HN,15.8,-84.2833,81.21,80,73,7.61,broken clouds
4,Busselton,AU,-33.65,115.3333,50.94,78,89,6.69,overcast clouds
5,Esperance,AU,-33.8667,121.9,55.42,69,60,13.11,broken clouds
6,Port Elizabeth,ZA,-33.918,25.5701,55.69,98,0,2.3,clear sky
7,Meru,KE,0.0463,37.6559,58.57,80,78,5.55,broken clouds
8,Tazovskiy,RU,67.4667,78.7,30.49,82,18,9.91,few clouds
9,Dikson,RU,73.5069,80.5464,37.63,87,100,20.47,overcast clouds
10,Sept-Iles,CA,50.2001,-66.3821,58.05,86,40,4.61,scattered clouds
11,Qaqortoq,GL,60.7167,-46.0333,43.27,93,39,3.15,scattered clouds
12,Leh,IN,34.1667,77.5833,52.56,74,93,1.3,overcast clouds
13,Conde,BR,-7.2597,-34.9075,71.06,83,0,5.75,clear sky
14,Punta Arenas,CL,-53.15,-70.9167,39.22,75,100,13.8,overcast clouds
15,Voyvozh,RU,62.892,54.9635,30.56,97,75,4.61,broken clouds
16,Polewali,ID,-3.4324,119.3435,79.5,80,94,0.72,overcast clouds
17,Vila Franca Do Campo,PT,37.7167,-25.4333,79.2,90,72,10.42,light rain
18,Grindavik,IS,63.8424,-22.4338,52.27,87,75,1.14,broken clouds
19,Port Alfred,ZA,-33.5906,26.891,60.44,89,2,8.25,clear sky
20,Thompson,CA,55.7435,-97.8558,73.56,31,75,8.05,broken clouds
21,Yellowknife,CA,62.456,-114.3525,52.32,62,75,14.97,broken clouds
22,Kruisfontein,ZA,-34.0033,24.7314,53.82,78,0,5.93,clear sky
23,Guadalupe Y Calvo,MX,26.1,-106.9667,60.33,90,100,1.14,overcast clouds
24,Bose,IT,45.4612,8.0137,68.2,94,100,2.62,overcast clouds
25,San Carlos Del Zulia,VE,9.0,-71.9135,81.28,79,81,5.61,broken clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,93,100,12.66,light intensity drizzle
27,Bereda,ES,43.2686,-7.5406,61.41,100,90,5.14,overcast clouds
28,Nanortalik,GL,60.1432,-45.2371,43.41,92,23,4.74,few clouds
29,Medicine Hat,CA,50.0501,-110.6683,93.63,16,100,21.85,smoke
30,Ushuaia,AR,-54.8,-68.3,37.06,70,40,4.61,scattered clouds
31,Dutlwe,BW,-23.9833,23.9,56.75,71,0,13.85,clear sky
32,Bayonet Point,US,28.3267,-82.6834,86.23,80,99,1.01,overcast clouds
33,Kautokeino,NO,69.0125,23.0412,37.8,86,100,1.97,overcast clouds
34,Zhigansk,RU,66.7697,123.3711,45.55,73,96,6.93,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,72.68,72,4,23.82,clear sky
36,Albany,US,42.6001,-73.9662,67.33,88,97,1.66,overcast clouds
37,Castro,BR,-24.7911,-50.0119,57.6,91,9,2.95,clear sky
38,Orta Nova,IT,41.3299,15.7107,71.47,49,55,4.92,broken clouds
39,Victor Harbor,AU,-35.5667,138.6167,57.0,86,60,13.33,broken clouds
40,Cabo San Lucas,MX,22.8909,-109.9124,81.05,90,100,20.71,overcast clouds
41,Marzuq,YE,14.4,46.4667,80.24,55,31,4.68,scattered clouds
42,Ludhiana,IN,30.9,75.85,75.69,81,0,1.23,clear sky
43,Souillac,MU,-20.5167,57.5167,70.18,73,75,6.91,broken clouds
44,Puerto Colombia,CO,10.9878,-74.9547,75.29,78,100,3.91,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,54.72,76,89,1.99,overcast clouds
46,Dali,CN,25.7,100.1833,60.71,77,70,2.39,broken clouds
47,Qaanaaq,GL,77.484,-69.3632,31.01,84,82,2.17,broken clouds
48,Cayenne,GF,4.9333,-52.3333,80.64,78,71,0.0,broken clouds
49,Fairhope,US,30.523,-87.9033,84.67,80,0,4.61,clear sky
50,Chifeng,CN,42.2683,118.9636,70.68,34,0,7.4,clear sky
51,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,93,0,12.66,clear sky
52,Tomatlan,MX,19.9333,-105.25,82.56,81,100,4.9,overcast clouds
53,Ormara,PK,25.2088,64.6357,79.29,80,61,8.61,broken clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,68.52,77,35,28.32,scattered clouds
55,Saskylakh,RU,71.9167,114.0833,36.99,79,98,9.42,overcast clouds
